curator,hibikir,2016-04-20T14:21:51
curator,None,0
curator,None,0
curator,None,0
curator,nirdothan,2016-03-22T10:36:05
curator,nirdothan,2016-03-21T10:09:48
curator,None,0
curator,nirdothan,2016-03-03T09:25:32
curator,None,0
curator,None,0
curator,None,0
curator,dragonsinth,2016-02-09T23:05:19
curator,dragonsinth,2016-02-06T22:00:20
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,dragonsinth,2015-07-22T01:50:43
curator,dragonsinth,2016-01-28T17:58:14
curator,dragonsinth,2016-01-28T17:38:57
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,joelittlejohn,2016-01-12T13:23:20
curator,None,0
curator,None,0
curator,None,0
curator,granthenke,2015-11-07T19:39:54
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,wallaceg-tp,2015-10-13T22:00:04
curator,None,0
curator,None,0
curator,None,0
curator,serba,2015-10-05T21:11:35
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,nkvoll,2015-09-02T18:03:28
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,alexbrasetvik,2015-08-03T00:00:44
curator,alexbrasetvik,2015-08-02T23:52:51
curator,alexbrasetvik,2015-08-02T22:57:51
curator,dragonsinth,2015-07-31T21:19:14
curator,leandronunes85,2015-07-23T23:18:18
curator,leandronunes85,2015-07-23T23:06:26
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,dragonsinth,2015-07-16T21:50:32
curator,oza,2015-07-15T04:18:40
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,tdyas,2015-06-16T21:38:18
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,estliberitas,2015-04-29T22:37:35
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,madrob,2015-04-07T19:22:41
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,dragonsinth,2015-03-11T16:39:03
curator,dkesler,2015-03-09T18:29:52
curator,None,0
curator,dkesler,2015-02-09T21:34:20
curator,dkesler,2015-02-09T18:50:39
curator,dkesler,2015-02-09T18:25:51
curator,dkesler,2015-02-09T18:19:20
curator,ae6rt,2015-01-22T00:28:00
curator,dragonsinth,2015-01-16T05:24:14
curator,dragonsinth,2015-01-15T19:12:29
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,None,0
curator,dragonsinth,2015-01-08T05:42:04
curator,None,0
curator,dragonsinth,2015-01-07T23:18:41
