tuscany-das,lresende,2009-11-02T22:22:47
tuscany-das,dims,2008-06-17T00:23:01
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,dkulp,2006-08-28T18:53:49
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,jsdelfino,2006-06-21T07:00:45
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,jsdelfino,2006-05-16T20:35:07
tuscany-das,None,0
tuscany-das,jsdelfino,2006-05-14T22:33:36
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,None,0
tuscany-das,jsdelfino,2006-01-14T20:29:09
tuscany-das,None,0
tuscany-das,None,0
