Name,Stars,Language,Created 
abdera,14,Java,2009-05-21T03:21:27
accumulo,214,Java,2011-10-06T07:00:09
ace,22,Java,2010-05-26T23:38:08
activemq,467,Java,2009-05-21T01:33:45
activemq-activeio,2,Java,2009-09-07T08:03:01
activemq-apollo,69,Java,2011-01-28T08:00:12
activemq-artemis,75,Java,2015-05-22T07:00:05
activemq-cpp,19,C++,2009-09-07T08:00:40
activemq-openwire,3,Java,2014-07-23T07:00:06
activemq-protobuf,10,Java,2009-09-07T08:03:51
activemq-stomp,1,Ruby,2009-09-07T08:00:23
airavata,28,Java,2014-01-29T08:00:06
airavata-docs,0,CSS,2016-03-03T08:00:06
airavata-labs,0,None,2015-03-10T19:06:28
airavata-php-gateway,6,PHP,2015-03-10T19:06:29
airavata-sandbox,0,Java,2014-06-04T07:00:07
airavata-site,0,HTML,2016-04-02T07:00:06
allura,17,Python,2014-04-05T07:00:06
ambari,337,Java,2011-09-23T07:00:08
ant,96,Java,2014-05-28T07:00:08
ant-antlibs-antunit,2,Java,2014-05-28T07:00:07
ant-antlibs-common,1,XSLT,2014-05-28T07:00:08
ant-antlibs-compress,2,Java,2014-05-28T07:00:08
ant-antlibs-dotnet,1,Java,2014-05-28T07:00:08
ant-antlibs-props,1,Java,2014-05-28T07:00:08
ant-antlibs-svn,1,Java,2014-05-28T07:00:08
ant-antlibs-vss,1,Java,2014-05-28T07:00:08
ant-easyant-buildtypes,1,Java,2014-06-17T07:00:06
ant-easyant-core,2,Java,2014-06-17T07:00:07
ant-easyant-easyant4e,1,Java,2014-06-17T07:00:07
ant-easyant-plugins,2,XSLT,2014-06-17T07:00:07
ant-easyant-skeletons,1,None,2014-06-17T07:00:07
ant-easyant-tasks,1,Java,2014-06-17T07:00:07
ant-ivy,7,Java,2014-05-28T07:00:08
ant-ivy-site-styles,0,None,2014-12-02T08:00:05
ant-ivyde,4,Java,2014-05-28T07:00:08
ant-xooki,1,JavaScript,2014-06-04T07:00:07
any-ivy-site-styles,0,None,2014-12-09T08:00:05
any23,31,HTML,2012-06-04T07:00:25
apache-website-template,1,CSS,2015-11-19T08:00:05
apr,104,C,2009-03-27T15:41:55
apr-iconv,9,C,2009-03-27T15:41:52
apr-util,29,C,2009-03-27T15:41:58
apreq,4,C,2010-09-04T07:00:07
archiva,106,Java,2014-04-10T07:00:07
archiva-redback-core,0,Java,2014-04-11T07:00:06
archiva-sandbox,2,Java,2011-10-25T07:00:12
archiva-site,0,CSS,2014-04-10T07:00:06
aries,51,Java,2009-09-30T08:00:10
aries-rsa,3,Java,2016-03-11T08:00:05
arrow,520,Java,2016-02-17T08:00:23
arrow-site,1,HTML,2016-02-17T08:00:06
asf-test,0,None,2015-09-18T08:20:21
aurora,393,Java,2013-11-05T08:00:13
aurora-packaging,13,Shell,2015-08-05T07:00:05
aurora-website,0,Ruby,2014-12-18T08:00:05
avro,464,Java,2009-05-21T02:48:37
axis1,1,Java,2009-05-21T02:48:48
axis1-java,5,Java,2013-12-04T08:00:21
axis2-c,6,C,2009-05-21T00:59:50
axis2-java,25,Java,2009-05-21T00:54:42
axis2-transports,1,Java,2011-08-11T07:01:22
batik,33,Java,2009-05-21T02:32:14
bigtop,151,Java,2011-08-04T16:09:56
bloodhound,110,Python,2013-04-08T07:20:19
bookkeeper,97,Java,2011-04-06T07:00:07
brooklyn,17,None,2015-12-02T08:00:06
brooklyn-client,4,Go,2015-12-02T08:00:06
brooklyn-dist,3,Shell,2015-12-02T08:00:06
brooklyn-docs,4,CSS,2015-12-02T08:00:06
brooklyn-library,5,Java,2015-12-02T08:00:06
brooklyn-server,10,Java,2015-12-02T08:00:06
brooklyn-ui,3,JavaScript,2015-12-02T08:00:06
buildr,125,Ruby,2009-05-21T03:16:15
bval,8,Java,2011-02-02T08:00:07
calcite,204,Java,2014-06-25T07:00:07
camel,802,Java,2009-05-21T00:25:36
cassandra,2711,Java,2009-05-21T02:10:09
cayenne,45,Java,2009-05-21T01:05:37
celix,10,C,2014-08-09T07:00:07
chainsaw,4,Java,2009-05-20T02:00:33
chemistry,5,Java,2009-05-21T02:28:25
chemistry-cmislib,1,Python,2012-01-24T08:00:10
